ステータス,FC実施年月日,性別,年代,CEFR,在住国,識別用のラベル,流入経路,集客経路
失注,2022-11-19,女性,18〜25,A2,日本,不明,不明,受講生紹介
入会,2022-11-19,男性,26〜30,B2,日本,不明,不明,検索
入会,2022-11-20,男性,46〜60,A2,日本,不明,不明,受講生紹介
入会,2022-11-22,女性,26〜30,B1,国外,不明,不明,検索
失注,2022-11-22,女性,31〜35,A2,日本,不明,不明,A8 忍者英会話
入会,2022-11-22,男性,31〜35,B1,日本,不明,不明,検索
失注,2022-11-23,女性,46〜60,A2,日本,不明,不明,検索
失注,2022-11-26,女性,26〜30,A2,国外,不明,不明,比較サイト
失注,2022-11-26,男性,46〜60,B1,国外,不明,不明,A8 忍者英会話
失注,2022-11-26,男性,36〜45,A2,日本,不明,不明,A8 その他
失注,2022-11-27,女性,36〜45,B1,日本,不明,不明,Instagram
入会,2022-11-27,女性,36〜45,B1,日本,不明,不明,検索
入会,2022-11-29,男性,31〜35,A2,日本,不明,不明,Instagram
入会,2022-11-30,女性,26〜30,A2,日本,不明,不明,バイリンガール
失注,2022-12-02,男性,31〜35,B1,日本,不明,不明,検索
入会,2022-12-03,女性,36〜45,A1,日本,不明,不明,A8 その他
失注,2022-12-03,男性,10代前半,A2,日本,不明,不明,検索
入会,2022-12-03,男性,46〜60,B1,日本,不明,不明,A8 忍者英会話
入会,2022-12-04,男性,36〜45,B1,日本,不明,不明,A8 ミツカル英会話
失注,2022-12-04,男性,26〜30,A2,日本,不明,不明,A8 ミツカル英会話
失注,2022-12-06,男性,31〜35,B1,日本,不明,不明,比較サイト
失注,2022-12-06,男性,31〜35,B1,日本,不明,不明,比較サイト
失注,2022-12-07,男性,36〜45,A2,日本,不明,不明,A8 ミツカル英会話
NS失注,2022-12-09,女性,不明,不明,不明,不明,不明,不明
入会,2022-12-09,男性,31〜35,B1,日本,不明,不明,A8 ミツカル英会話
入会,2022-12-10,女性,36〜45,B1,日本,ーー,不明,A8 ミツカル英会話
失注,2022-12-10,女性,46〜60,B1,日本,不明,不明,A8 その他
NS失注,2022-12-13,不明,不明,TOEIC,不明,不明,不明,不明
NS失注,2022-12-14,男性,不明,不明,不明,不明,不明,A8 その他
入会,2022-12-14,男性,31〜35,B1,日本,不明,不明,A8 ミツカル英会話
失注,2022-12-16,男性,36〜45,B1,国外,不明,不明,A8 ミツカル英会話
失注,2022-12-16,女性,46〜60,A2,日本,不明,不明,A8 本気の英会話
NS失注,2022-12-16,女性,不明,不明,不明,不明,不明,不明
失注,2022-12-16,女性,26〜30,TOEIC,日本,不明,不明,A8 ミツカル英会話
失注,2022-12-16,男性,36〜45,TOEIC,日本,不明,不明,A8 ミツカル英会話
失注,2022-12-17,女性,26〜30,TOEIC,日本,不明,不明,A8 ミツカル英会話
失注,2022-12-18,女性,36〜45,A2,日本,不明,不明,A8 その他
入会,2022-12-18,女性,36〜45,A2,日本,不明,不明,A8 ミツカル英会話
失注,2022-12-20,男性,46〜60,B2,日本,不明,不明,A8 本気の英会話
入会,2022-12-20,男性,36〜45,A1,日本,不明,不明,タビケン留学
失注,2022-12-20,男性,36〜45,A1,日本,campaign_01ーorganicーorganic,不明,検索
入会,2022-12-21,男性,36〜45,B1,日本,不明,不明,A8 ミツカル英会話
入会,2022-12-21,男性,36〜45,B2,日本,不明,不明,検索
入会,2022-12-23,女性,36〜45,A2,日本,不明,不明,比較サイト
入会,2022-12-24,女性,31〜35,A2,日本,不明,不明,A8 ミツカル英会話
失注,2022-12-24,男性,46〜60,B1,日本,不明,不明,比較サイト
NS失注,2022-12-24,不明,不明,TOEIC,日本,不明,不明,A8 忍者英会話
失注,2022-12-24,女性,26〜30,A2,日本,不明,不明,検索
入会,2022-12-24,男性,31〜35,B1,日本,不明,不明,A8 ミツカル英会話
失注,2022-12-27,女性,36〜45,B1,日本,不明,不明,検索
入会,2022-12-27,女性,46〜60,B1,日本,不明,不明,検索
入会,2022-12-27,女性,31〜35,A2,日本,不明,不明,検索
失注,2023-01-04,男性,36〜45,A2,日本,不明,不明,A8 ミツカル英会話
入会,2023-01-04,男性,26〜30,B1,国外,不明,不明,検索
NS失注,2023-01-06,男性,36〜45,不明,不明,不明,不明,不明
入会,2023-01-07,女性,36〜45,B1,日本,不明,不明,A8 ミツカル英会話
NS失注,2023-01-07,男性,不明,不明,日本,不明,不明,A8 ミツカル英会話
失注,2023-01-07,男性,18〜25,A2,日本,不明,不明,バイリンガール
失注,2023-01-07,男性,36〜45,A2,国外,不明,不明,A8 ミツカル英会話
NS失注,2023-01-07,男性,不明,不明,不明,不明,不明,A8 ミツカル英会話
入会,2023-01-08,男性,36〜45,TOEIC,日本,不明,不明,A8 ミツカル英会話
NS失注,2023-01-08,男性,26〜30,不明,日本,不明,不明,A8 ミツカル英会話
入会,2023-01-08,男性,36〜45,B1,日本,不明,不明,検索
失注,2023-01-08,女性,46〜60,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-01-10,男性,26〜30,B1,日本,不明,不明,A8 ミツカル英会話
入会,2023-01-10,女性,46〜60,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-01-10,男性,31〜35,B1,日本,不明,不明,検索
入会,2023-01-11,男性,46〜60,B1,日本,不明,不明,A8 ミツカル英会話
入会,2023-01-13,女性,31〜35,A1,日本,不明,不明,比較サイト
NS失注,2023-01-13,男性,36〜45,不明,国外,不明,不明,A8 その他
失注,2023-01-14,女性,61以上,TOEIC,日本,不明,不明,A8 その他
失注,2023-01-14,女性,31〜35,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-01-14,男性,31〜35,B1,国外,不明,不明,A8 本気の英会話
失注,2023-01-14,男性,36〜45,B1,日本,不明,不明,A8 その他
失注,2023-01-14,女性,26〜30,A2,日本,不明,不明,A8 ミツカル英会話
入会,2023-01-14,男性,36〜45,B1,日本,不明,不明,検索
失注,2023-01-14,男性,26〜30,B2,日本,不明,不明,検索
失注,2023-01-14,男性,46〜60,A1,日本,不明,不明,検索
入会,2023-01-14,男性,36〜45,B1,日本,不明,不明,検索
入会,2023-01-17,男性,36〜45,B1,日本,不明,不明,検索
入会,2023-01-17,女性,36〜45,A2,日本,不明,不明,A8 その他
失注,2023-01-17,女性,31〜35,TOEIC,日本,不明,不明,A8 忍者英会話
失注,2023-01-18,女性,36〜45,TOEIC,日本,不明,不明,検索
入会,2023-01-18,男性,26〜30,B1,国外,不明,不明,A8 ミツカル英会話
入会,2023-01-20,男性,46〜60,A2,日本,不明,不明,バイリンガール
失注,2023-01-20,女性,36〜45,A1,日本,不明,不明,A8 ミツカル英会話
入会,2023-01-21,男性,26〜30,B1,国外,不明,不明,A8 ミツカル英会話
入会,2023-01-21,男性,26〜30,A1,日本,不明,不明,検索
NS失注,2023-01-21,女性,46〜60,不明,不明,不明,不明,A8 ミツカル英会話
失注,2023-01-21,女性,18〜25,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-01-21,女性,26〜30,B1,不明,不明,不明,バイリンガール
失注,2023-01-22,女性,26〜30,B2,日本,不明,不明,A8 ミツカル英会話
失注,2023-01-22,女性,46〜60,A2,日本,不明,不明,A8 ミツカル英会話
入会,2023-01-22,男性,31〜35,B1,不明,不明,不明,不明
NS失注,2023-01-23,不明,不明,不明,不明,不明,不明,不明
入会,2023-01-24,男性,36〜45,B1,日本,不明,不明,A8 その他
入会,2023-01-24,女性,31〜35,A2,国外,不明,不明,バイリンガール
入会,2023-01-24,女性,31〜35,A1,日本,不明,不明,A8 ミツカル英会話
失注,2023-01-24,男性,36〜45,B1,日本,不明,不明,比較サイト
入会,2023-01-24,女性,36〜45,B1,日本,不明,不明,検索
入会,2023-01-24,男性,26〜30,B1,日本,不明,不明,検索
入会,2023-01-27,女性,46〜60,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-01-27,女性,31〜35,B1,日本,不明,不明,バイリンガール
入会,2023-01-27,女性,36〜45,A2,日本,不明,不明,A8 ミツカル英会話
失注,2023-01-28,女性,18〜25,B1,国外,不明,不明,検索
入会,2023-01-28,男性,31〜35,A1,日本,不明,不明,検索
入会,2023-01-28,女性,26〜30,A1,日本,不明,不明,A8 ミツカル英会話
失注,2023-01-28,女性,31〜35,B1,日本,不明,不明,A8 ミツカル英会話
NS失注,2023-01-29,不明,不明,不明,不明,reskilling_1ーupsteadyーtel,不明,A8 ミツカル英会話
失注,2023-01-30,女性,36〜45,B1,日本,不明,不明,検索
失注,2023-01-30,男性,61以上,A2,日本,不明,不明,A8 その他
失注,2023-01-31,女性,36〜45,B1,不明,不明,不明,バイリンガール
失注,2023-01-31,女性,26〜30,B1,日本,不明,不明,バイリンガール
NS失注,2023-01-31,不明,不明,不明,不明,不明,不明,A8 ミツカル英会話
失注,2023-01-31,女性,31〜35,B1,国外,不明,不明,A8 ミツカル英会話
失注,2023-01-31,女性,18〜25,TOEIC,日本,不明,不明,検索
失注,2023-01-31,男性,31〜35,不明,日本,不明,不明,A8 ミツカル英会話
NS失注,2023-02-01,不明,不明,不明,日本,不明,不明,不明
失注,2023-02-01,女性,31〜35,B1,日本,不明,不明,A8 その他
失注,2023-02-01,女性,26〜30,B1,日本,不明,不明,A8 ミツカル英会話
NS失注,2023-02-02,不明,不明,TOEIC,日本,不明,不明,不明
失注,2023-02-03,男性,26〜30,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-02-04,女性,26〜30,B2,国外,不明,不明,A8 ミツカル英会話
入会,2023-02-04,女性,36〜45,B1,日本,不明,不明,A8 その他
入会,2023-02-04,男性,26〜30,B1,日本,不明,不明,比較サイト
失注,2023-02-04,女性,26〜30,A2,日本,不明,不明,その他
失注,2023-02-04,女性,26〜30,A2,日本,不明,不明,A8 ミツカル英会話
入会,2023-02-06,男性,46〜60,A2,日本,不明,不明,A8 ミツカル英会話
入会,2023-02-06,男性,36〜45,TOEIC,日本,不明,不明,検索
失注,2023-02-07,女性,26〜30,不明,日本,不明,不明,A8 ミツカル英会話
入会,2023-02-07,男性,46〜60,A1,国外,不明,不明,A8 その他
失注,2023-02-09,女性,31〜35,B1,不明,不明,不明,検索
失注,2023-02-09,女性,36〜45,A2,日本,不明,不明,A8 その他
入会,2023-02-09,男性,36〜45,B1,日本,不明,不明,検索
失注,2023-02-09,男性,31〜35,B1,日本,不明,不明,A8 ミツカル英会話
入会,2023-02-11,女性,46〜60,A2,日本,不明,不明,検索
入会,2023-02-11,女性,26〜30,B1,日本,不明,不明,A8 ミツカル英会話
入会,2023-02-12,男性,26〜30,TOEIC,日本,不明,不明,検索
入会,2023-02-12,女性,26〜30,B1,国外,不明,不明,A8 ミツカル英会話
入会,2023-02-13,男性,26〜30,A2,日本,不明,不明,検索
失注,2023-02-16,女性,26〜30,A1,日本,不明,不明,バイリンガール
NS失注,2023-02-16,不明,不明,不明,不明,不明,不明,A8 その他
失注,2023-02-16,女性,36〜45,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-02-16,女性,36〜45,B2,日本,不明,不明,Facebook
入会,2023-02-18,男性,31〜35,B1,日本,不明,不明,A8 忍者英会話
失注,2023-02-18,男性,18〜25,B1,日本,不明,不明,A8 ミツカル英会話
NS失注,2023-02-18,女性,46〜60,不明,日本,不明,不明,A8 ミツカル英会話
失注,2023-02-19,女性,26〜30,B1,日本,不明,不明,バイリンガール
入会,2023-02-19,女性,31〜35,TOEIC,日本,不明,不明,A8 ミツカル英会話
入会,2023-02-19,女性,46〜60,A2,日本,不明,不明,検索
失注,2023-02-19,女性,46〜60,A1,日本,不明,不明,検索
失注,2023-02-19,男性,36〜45,B2,日本,不明,不明,受講生紹介
失注,2023-02-19,男性,26〜30,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-02-20,男性,31〜35,B1,日本,不明,不明,検索
入会,2023-02-20,女性,46〜60,A2,日本,不明,不明,バイリンガール
入会,2023-02-20,男性,18〜25,A2,日本,不明,不明,検索
失注,2023-02-21,女性,36〜45,A2,日本,不明,不明,A8 その他
失注,2023-02-21,女性,36〜45,A2,日本,不明,不明,A8 ミツカル英会話
失注,2023-02-23,男性,18〜25,B1,国外,不明,不明,検索
入会,2023-02-23,女性,46〜60,A2,日本,不明,不明,受講生紹介
入会,2023-02-23,女性,36〜45,B1,日本,不明,不明,A8 ミツカル英会話
入会,2023-02-24,男性,36〜45,B1,国外,不明,不明,A8 ミツカル英会話
入会,2023-02-24,男性,36〜45,B1,国外,不明,不明,検索
失注,2023-02-24,男性,26〜30,B1,日本,不明,不明,検索
失注,2023-02-24,女性,26〜30,TOEIC,日本,不明,不明,A8 ミツカル英会話
失注,2023-02-26,男性,36〜45,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-02-26,男性,31〜35,TOEIC,日本,不明,不明,A8 ミツカル英会話
失注,2023-02-26,男性,26〜30,A2,日本,不明,不明,A8 ミツカル英会話
入会,2023-02-27,男性,31〜35,A1,日本,不明,不明,A8 ミツカル英会話
失注,2023-02-27,男性,46〜60,B1,日本,不明,不明,A8 ミツカル英会話
NS失注,2023-02-28,不明,不明,不明,不明,不明,不明,A8 その他
入会,2023-03-02,男性,36〜45,A2,日本,不明,不明,A8 その他
NS失注,2023-03-02,不明,不明,不明,不明,不明,不明,A8 その他
失注,2023-03-02,男性,18〜25,B1,日本,不明,不明,A8 ミツカル英会話
入会,2023-03-02,女性,36〜45,B1,日本,不明,不明,検索
入会,2023-03-03,男性,26〜30,B1,国外,不明,不明,検索
失注,2023-03-03,女性,31〜35,A1,日本,不明,不明,A8 ミツカル英会話
入会,2023-03-04,女性,26〜30,B1,日本,不明,不明,A8 その他
失注,2023-03-04,女性,26〜30,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-03-04,男性,36〜45,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-03-04,男性,36〜45,B1,国外,不明,不明,A8 ミツカル英会話
入会,2023-03-04,男性,36〜45,A2,日本,不明,不明,A8 その他
入会,2023-03-04,女性,36〜45,B2,日本,不明,不明,バイリンガール
失注,2023-03-06,男性,31〜35,A2,日本,不明,不明,受講生紹介
入会,2023-03-06,男性,46〜60,B1,日本,不明,不明,検索
失注,2023-03-07,女性,26〜30,A1,日本,不明,不明,検索
入会,2023-03-07,男性,31〜35,B1,日本,不明,不明,A8 その他
入会,2023-03-09,不明,36〜45,A2,日本,不明,不明,A8 ミツカル英会話
失注,2023-03-09,女性,31〜35,TOEIC,日本,不明,不明,A8 ミツカル英会話
失注,2023-03-09,男性,31〜35,A1,国外,不明,不明,A8 ミツカル英会話
入会,2023-03-09,女性,26〜30,B1,国外,不明,不明,バイリンガール
失注,2023-03-11,男性,26〜30,B1,日本,不明,不明,検索
入会,2023-03-11,男性,31〜35,B1,日本,不明,不明,検索
入会,2023-03-12,女性,36〜45,B1,日本,不明,不明,A8 ミツカル英会話
入会,2023-03-12,男性,26〜30,A2,日本,不明,不明,A8 ミツカル英会話
失注,2023-03-12,男性,36〜45,A2,日本,不明,不明,A8 ミツカル英会話
入会,2023-03-12,女性,26〜30,B1,国外,不明,不明,A8 その他
入会,2023-03-14,女性,36〜45,B1,国外,不明,不明,バイリンガール
失注,2023-03-16,男性,31〜35,B2,日本,不明,不明,比較サイト
失注,2023-03-17,女性,26〜30,A2,日本,不明,不明,A8 ミツカル英会話
失注,2023-03-17,女性,26〜30,TOEIC,日本,不明,不明,検索
失注,2023-03-18,女性,46〜60,B1,日本,不明,不明,A8 ミツカル英会話
入会,2023-03-18,女性,36〜45,B2,日本,不明,不明,A8 ミツカル英会話
失注,2023-03-19,男性,18〜25,A2,日本,不明,不明,A8 ミツカル英会話
失注,2023-03-19,男性,36〜45,B1,日本,不明,不明,比較サイト
失注,2023-03-19,男性,26〜30,TOEIC,日本,不明,不明,比較サイト
入会,2023-03-19,女性,36〜45,B1,日本,不明,不明,検索
入会,2023-03-20,男性,36〜45,B1,国外,不明,不明,A8 ミツカル英会話
入会,2023-03-20,男性,46〜60,A2,日本,不明,不明,A8 その他
入会,2023-03-20,男性,36〜45,A2,日本,不明,不明,検索
入会,2023-03-21,女性,36〜45,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-03-21,女性,26〜30,B1,日本,不明,不明,A8 ミツカル英会話
失注,2023-03-21,男性,46〜60,A2,日本,不明,不明,A8 ミツカル英会話
入会,2023-03-23,男性,31〜35,A2,日本,不明,不明,検索
NS失注,2023-03-23,女性,不明,不明,国外,不明,不明,不明
失注,2023-03-24,男性,31〜35,B2,日本,不明,不明,A8 ミツカル英会話
失注,2023-03-28,男性,36〜45,A2,日本,不明,不明,A8 その他
入会,2023-03-30,男性,36〜45,A2,日本,不明,不明,バイリンガール
入会,2023-03-30,男性,36〜45,B1,日本,不明,不明,受講生紹介
入会,2023-03-30,男性,26〜30,B1,国外,不明,不明,検索
入会,2023-03-30,女性,31〜35,A2,日本,不明,不明,検索
NS失注,2023-03-30,男性,不明,TOEIC,日本,不明,不明,不明
失注,2023-03-30,女性,36〜45,A2,日本,不明,不明,検索
失注,2023-03-30,女性,31〜35,A2,日本,不明,不明,検索
入会,2023-03-31,男性,46〜60,A1,日本,不明,不明,検索
